cycle_id,r04_grab_count,r03_nose_peak,r03_nose_fwhm,r03_nose_impulse,label
5_170,5,4788.0,4.1,13672.234586466166,Normal
5_171,5,3963.0,4.2,10716.505555555555,Normal
5_172,5,4769.0,4.1,13562.8125,Normal
5_173,5,4874.0,4.1,14123.247297297296,Normal
5_174,5,4753.0,4.2,13752.85974025974,Normal
5_175,5,6476.0,4.2,14709.931606217617,Normal
5_176,5,4920.0,4.0,14327.933164556962,Normal
5_177,5,4835.0,3.8,13389.258208955225,Normal
5_178,5,4803.0,4.2,14013.064569536426,Normal
5_179,5,4893.0,4.1,14259.856743002543,Normal
5_18,7,1400.0,1.2,61.5,"NoNose,NoBody2"
5_180,5,5953.0,4.2,11718.28137254902,Normal
5_181,5,4857.0,4.0,13622.625796178345,Normal
5_183,5,6623.0,4.0,14248.236231884057,Normal
5_184,5,4843.0,4.1,14086.560098522168,Normal
5_185,5,4799.0,4.0,13569.845794392522,Normal
5_186,5,4809.0,4.2,14183.123972602738,Normal
5_187,5,4107.0,4.0,10804.07557840617,Normal
5_188,5,8519.0,7.1,33447.19850746269,Normal
5_189,5,4729.0,4.1,13496.375415282393,Normal
5_19,7,1390.0,2.0,59.9,"NoNose,NoBody2"
5_190,5,4823.0,4.1,13817.729156327545,Normal
5_191,5,6510.0,4.2,14844.78274111675,Normal
5_192,5,6426.0,4.3,15256.851707317075,Normal
5_193,5,4695.0,4.3,13729.291082802549,Normal
5_194,5,4807.0,3.1,441.1,Normal
5_195,5,4753.0,4.2,13995.818886198545,Normal
5_196,5,4823.0,4.2,14357.158333333335,Normal
5_197,5,6595.0,4.2,14746.58031496063,Normal
5_198,5,4809.0,4.1,13873.178289473686,Normal
5_199,5,4793.0,4.1,13669.061392405065,Normal
5_2,5,1393.0,1.6,63.7,NoNose
5_20,7,1392.0,1.9,55.75,"NoNose,NoBody2"
5_200,5,3606.0,4.2,9064.379876986339,Normal
5_201,5,4659.0,3.7,11988.115533980581,Normal
5_202,5,4787.0,4.1,13860.000498753117,Normal
5_203,5,4701.0,4.2,13840.465402843602,Normal
5_204,5,4775.0,4.0,13832.039705882353,Normal
5_205,5,4679.0,4.3,13848.91,Normal
5_206,5,4780.0,4.2,13913.827962985659,Normal
5_207,5,4741.0,4.2,13795.301424694708,Normal
5_208,5,4819.0,4.0,13751.934666666668,Normal
5_209,5,4067.0,4.2,11078.170863309353,Normal
5_21,7,1391.0,0.4,62.2,"NoNose,NoBody2"
5_210,5,6481.0,4.3,14897.0,Normal
5_211,5,4735.0,4.0,13152.54548736462,Normal
5_212,5,4813.0,4.2,14301.395275590552,Normal
5_213,5,4742.0,4.3,14224.303355704697,Normal
5_214,5,3577.0,4.0,8594.605882352942,Normal
5_215,5,4060.0,4.1,10758.918695652173,Normal
5_216,5,4853.0,3.8,13036.348148148149,Normal
5_217,5,4745.0,4.0,13556.61948051948,Normal
5_218,5,3551.0,4.1,8761.729795318053,Normal
5_219,5,4653.0,4.1,12941.881008902077,Normal
5_22,7,1390.0,1.9,65.6,"NoNose,NoBody2"
5_220,5,4830.0,4.3,14449.107407407408,Normal
5_221,5,4659.0,4.1,13233.613888888887,Normal
5_222,5,4789.0,4.1,13747.710508474576,Normal
5_223,5,4040.0,4.2,10961.37730263158,Normal
5_224,5,6678.0,7.0,31966.622463768115,Normal
5_225,5,6598.0,4.2,13937.659459459459,Normal
5_226,5,6376.0,4.4,15090.567521367522,Normal
5_227,5,4777.0,4.2,14013.56204620462,Normal
5_228,5,4832.0,4.2,14286.618791946308,Normal
5_229,5,6489.0,4.2,14287.624719101124,Normal
5_23,7,1397.0,0.5,48.8,"NoNose,NoBody2"
5_230,5,5619.0,1.0,9347.695734597157,Normal
5_231,5,4780.0,3.8,13118.901763224183,Normal
5_232,5,4813.0,4.0,13525.80447761194,Normal
5_233,5,4745.0,4.0,13406.051351351352,Normal
5_234,5,4851.0,4.4,14767.228172043013,Normal
5_235,5,4755.0,4.1,13602.989649122808,Normal
5_236,5,4821.0,4.2,14168.319400352735,Normal
5_237,5,4769.0,4.0,13462.492592592593,Normal
5_238,5,4762.0,4.2,14210.73615819209,Normal
5_239,3,4648.0,4.3,13724.040878378379,Normal
5_24,7,1392.0,0.7,56.4,"NoNose,NoBody2"
5_240,0,1396.0,1.4,57.5,Normal
5_241,5,4752.0,4.2,13959.142574257427,Normal
5_242,5,4796.0,4.0,13594.841218637992,Normal
5_243,5,4750.0,4.1,13560.236305732484,Normal
5_244,5,4803.0,4.1,14044.864646464648,Normal
5_245,5,4652.0,4.1,13077.990998363339,Normal
5_246,5,4800.0,4.2,14211.435264483627,Normal
5_247,5,4777.0,4.0,13613.563265306124,Normal
5_248,5,6606.0,4.6,23729.36382978723,Normal
5_249,5,4758.0,4.0,13469.511167512688,Normal
5_25,7,1421.0,0.6,77.3,"NoNose,NoBody2"
5_250,5,4772.0,4.1,13496.196385542169,Normal
5_251,5,4780.0,4.2,14006.65145631068,Normal
5_252,5,4819.0,4.1,14102.361325966853,Normal
5_253,5,6775.0,3.9,17943.6,NoNose
5_254,5,1395.0,1.1,60.1,NoNose
5_255,5,1395.0,1.7,60.25,NoNose
5_256,5,1401.0,0.2,63.9,NoNose
5_257,5,1401.0,1.2,63.5,NoNose
5_258,5,1402.0,0.8,59.9,NoNose
5_259,5,1391.0,1.4,60.8,NoNose
5_26,7,1392.0,0.8,59.5,"NoNose,NoBody2"
5_260,5,1392.0,1.8,72.1,NoNose
5_261,5,1395.0,2.5,73.7,NoNose
5_262,5,1399.0,2.1,61.1,NoNose
5_263,5,1401.0,1.3,69.75,NoNose
5_264,5,1396.0,1.1,66.6,NoNose
5_265,5,6742.0,3.9,18075.8,NoNose
5_266,5,1393.0,1.3,67.9,NoNose
5_267,5,1397.0,1.0,59.7,NoNose
5_268,5,1399.0,1.7,74.4,NoNose
5_269,5,1392.0,1.7,57.25,NoNose
5_27,7,1400.0,0.9,60.3,"NoNose,NoBody2"
5_270,5,1396.0,1.4,66.6,NoNose
5_271,5,1407.0,1.8,62.5,NoNose
5_272,5,1400.0,1.6,56.2,NoNose
5_273,5,1404.0,1.5,73.5,NoNose
5_274,5,1399.0,2.3,74.0,NoNose
5_275,5,1394.0,2.1,66.9,NoNose
5_28,6,6385.0,6.3,30828.49228070175,"NoNose,NoBody2"
5_29,7,1392.0,1.9,52.6,"NoNose,NoBody2"
5_3,5,1388.0,1.7,73.6,NoNose
5_30,7,1390.0,1.7,59.6,"NoNose,NoBody2"
5_31,7,1388.0,1.5,51.3,"NoNose,NoBody2"
5_32,7,1395.0,1.3,66.4,"NoNose,NoBody2"
5_33,7,1405.0,0.9,64.1,"NoNose,NoBody2"
5_34,7,1407.0,0.9,57.5,"NoNose,NoBody2"
5_35,7,1392.0,1.4,53.9,"NoNose,NoBody2"
